date,metric,BTC,ETH
2024-07-31,etf_cumulative_net_flow_usd_millions,17677.2,-483.6
2024-07-31,etf_net_flow_usd_millions,-17.7,-77.2
2024-08-01,etf_cumulative_net_flow_usd_millions,17536.7,-456.9
2024-08-01,etf_net_flow_usd_millions,-140.5,26.7
2024-08-02,etf_cumulative_net_flow_usd_millions,17289.4,-511.2
2024-08-02,etf_net_flow_usd_millions,-247.3,-54.3
2024-08-03,etf_cumulative_net_flow_usd_millions,17289.4,-511.2
2024-08-03,etf_net_flow_usd_millions,0.0,0.0
2024-08-04,etf_cumulative_net_flow_usd_millions,17289.4,-511.2
2024-08-04,etf_net_flow_usd_millions,0.0,0.0
2024-08-05,etf_cumulative_net_flow_usd_millions,17099.2,-462.4
2024-08-05,etf_net_flow_usd_millions,-190.2,48.8
2024-08-06,etf_cumulative_net_flow_usd_millions,16950.6,-364.0
2024-08-06,etf_net_flow_usd_millions,-148.6,98.4
2024-08-07,etf_cumulative_net_flow_usd_millions,16986.0,-387.7
2024-08-07,etf_net_flow_usd_millions,35.4,-23.7
2024-08-08,etf_cumulative_net_flow_usd_millions,17180.6,-390.6
2024-08-08,etf_net_flow_usd_millions,194.6,-2.9
2024-08-09,etf_cumulative_net_flow_usd_millions,17075.3,-406.4
2024-08-09,etf_net_flow_usd_millions,-105.3,-15.8
2024-08-10,etf_cumulative_net_flow_usd_millions,17075.3,-406.4
2024-08-10,etf_net_flow_usd_millions,0.0,0.0
2024-08-11,etf_cumulative_net_flow_usd_millions,17075.3,-406.4
2024-08-11,etf_net_flow_usd_millions,0.0,0.0
2024-08-12,etf_cumulative_net_flow_usd_millions,17095.2,-401.4
2024-08-12,etf_net_flow_usd_millions,19.9,5.0
2024-08-13,etf_cumulative_net_flow_usd_millions,17134.2,-377.1
2024-08-13,etf_net_flow_usd_millions,39.0,24.3
